message,label
"Win a brand new iPhone 15 for free!","spam"
"Let's catch up for dinner tomorrow.","real"
"Congratulations! You've been selected to win $1000.","spam"
"Don't forget the meeting at 3 PM today.","real"
"Click here to claim your reward now!","spam"
"Hey, can you send me the project file?","real"
"Urgent! Your bank account will be blocked, verify now.","spam"
"Happy Birthday! Have a great year ahead.","real"
"Limited time offer! Buy one get one free.","spam"
"Can you please review my report before submission?","real"
"You have won a free vacation to Maldives!","spam"
"Good morning, hope you had a nice weekend.","real"
"Claim your free cash prize today!","spam"
"Please submit your attendance before 8 PM.","real"
"Your parcel is waiting for delivery, click link to confirm.","spam"
"Are you coming to class tomorrow?","real"
"Win exciting prizes by clicking the link below!","spam"
"Just finished my assignment, finally!","real"
"Free recharge offer available for 24 hours!","spam"
"Did you watch the movie yesterday?","real"
"Your account has been compromised, verify immediately.","spam"
"Please send the meeting notes from yesterday.","real"
"Win up to ₹10,000 in cash instantly!","spam"
"Let’s go shopping this weekend.","real"
"Exclusive offer for loyal customers, claim now!","spam"
"Your OTP is 456789 for verification.","real"
"Congratulations! You are our lucky winner today.","spam"
"Don’t forget your doctor’s appointment tomorrow.","real"
"Click here to update your payment information.","spam"
"Are you free for a quick call?","real"
"You have won a free cruise trip, book now!","spam"
"Hey, can you share the event details?","real"
"Limited seats available, register now!","spam"
"Reminder: payment due by 10 PM today.","real"
"Free Netflix subscription for 1 year!","spam"
"Thanks for helping with the presentation.","real"
"Congratulations! Claim your lottery now.","spam"
"Please complete your homework before 9.","real"
"Earn money from home easily!","spam"
"Are you available for the group meeting?","real"
"Win free gift vouchers instantly!","spam"
"Happy to connect with you!","real"
"Verify your details to receive your prize.","spam"
"Let’s plan our trip soon.","real"
"You’ve been selected for an exclusive bonus!","spam"
"Good luck for your exam tomorrow.","real"
"Click here for unlimited cashback offers.","spam"
"Hey, check your email for updates.","real"
"Free rewards waiting for you!","spam"
"Meeting postponed to 5 PM.","real"
"Earn ₹500 daily just by clicking ads!","spam"
"Let’s meet at the cafe near college.","real"
"You have been shortlisted for a surprise gift!","spam"
"Don’t forget to bring your ID card.","real"
"Claim your free Amazon gift card now!","spam"
"Please submit your project today.","real"
"Win cash prizes worth lakhs instantly!","spam"
"Can we discuss the assignment later?","real"
"Congratulations! You won a bonus reward!","spam"
"Have you reached home safely?","real"
"Limited offer ends tonight, act fast!","spam"
"Good night, see you tomorrow!","real"
"Get 100% cashback by signing up now!","spam"
"Can you send the pictures from yesterday?","real"
"Free access to premium content, click below!","spam"
"Don’t forget to wish Neha for her birthday.","real"
"You’ve been chosen for a lucky draw!","spam"
"See you in class tomorrow.","real"
"Claim your instant bonus rewards today!","spam"
"Thanks for your quick response!","real"
"Win exciting rewards now by signing up!","spam"
"Please email me the attendance sheet.","real"
"Get free recharge coupons instantly!","spam"
"Are you done with your assignments?","real"
"Congratulations! Get your free smartwatch.","spam"
"How was your trip to Goa?","real"
"Earn big rewards without any effort!","spam"
"Please upload your presentation slides.","real"
"You’ve been pre-approved for a loan, apply now!","spam"
"Hey, can we meet at the library?","real"
"Get free shopping vouchers instantly!","spam"
"Let’s work on the project this weekend.","real"
"Win ₹5000 instantly, click below!","spam"
"Thanks for joining the session.","real"
"Claim your reward before it expires!","spam"
"Good luck with your interview today!","real"
"Earn ₹1000 per day without working!","spam"
"Hope you had lunch!","real"
"Get exclusive deals, limited period offer!","spam"
"Can you share the Zoom link please?","real"
"Congratulations! Free rewards are waiting!","spam"
"Let’s grab coffee this evening.","real"
"Free entry into lucky draw, register now!","spam"
"Please bring your documents for verification.","real"
"You have won a brand new car!","spam"
"Meeting confirmed for 2 PM.","real"
"Click now to get exciting cashback offers!","spam"
"Hope your exams went well!","real"
